class_id,label,precision,recall,f1,class_accuracy,support
0,Tshirts,0.9396551724137931,0.925035360678925,0.932287954383464,0.925035360678925,707
1,Shirts,0.9391025641025641,0.9099378881987578,0.9242902208201894,0.9099378881987578,322
2,Casual Shoes,0.8333333333333334,0.9154929577464789,0.87248322147651,0.9154929577464789,284
3,Watches,0.996078431372549,1.0,0.9980353634577603,1.0,254
4,Sports Shoes,0.8914285714285715,0.7647058823529411,0.8232189973614775,0.7647058823529411,204
5,Kurtas,0.8786407766990292,0.9836956521739131,0.9282051282051283,0.9836956521739131,184
6,Tops,0.7167630057803468,0.7045454545454546,0.7106017191977079,0.7045454545454546,176
7,Handbags,0.9775280898876404,0.9886363636363636,0.983050847457627,0.9886363636363636,176
8,Heels,0.9621212121212122,0.9621212121212122,0.9621212121212122,0.9621212121212122,132
9,Sunglasses,1.0,1.0,1.0,1.0,107
